
 
"
08"
"Acting Secretary Sullivan’s travel to the #G7 Foreign Ministers’ Meeting is an opportunity to exchange views and co… https://t.co/CImmjlwxe8","http://web.archive.org/*/http://twitter.com/statedeptspox/status/987149862822137856"
"Acting Secretary Sullivan: Today I’m announcing we are providing an additional $50 million in humanitarian aid from… https://t.co/wTuf5Q8VPq","http://web.archive.org/*/https://twitter.com/statedeptspox/status/988490696100327424"
"Acting Secretary Sullivan: Today I’m announcing we are providing an additional $50 million in humanitarian aid from… https://t.co/wTuf5Q8VPq","http://web.archive.org/*/http://twitter.com/statedeptspox/status/988490696100327424"
"Acting Secretary Sullivan travels to Lima, #Peru April 11-14, accompanying @VP Pence at @SummitAmericas. During… https://t.co/iLTebLChlA","http://web.archive.org/*/https://twitter.com/statedeptspox/status/983824885838475265"
"Acting Secretary Sullivan travels to Lima, #Peru April 11-14, accompanying @VP Pence at @SummitAmericas. During… https://t.co/iLTebLChlA","http://web.archive.org/*/http://twitter.com/statedeptspox/status/983824885838475265"
"Acting Secretary Sullivan urged #Ukraine to redouble reform efforts and adhere to IMF programs by adopting legislat… https://t.co/d1Zxur5chN","http://web.archive.org/*/https://twitter.com/statedeptspox/status/987882656024223745"
"Acting Secretary Sullivan urged #Ukraine to redouble reform efforts and adhere to IMF programs by adopting legislat… https://t.co/d1Zxur5chN","http://web.archive.org/*/http://twitter.com/statedeptspox/status/987882656024223745"
"Acting Sec. Sullivan and Foreign Minister @konotaromp affirmed their strong determination to bolster the U.S.-… https://t.co/iIXhhrgKFW","http://web.archive.org/*/https://twitter.com/statedeptspox/status/988419645504974849"
"Acting Sec. Sullivan and Foreign Minister @konotaromp affirmed their strong determination to bolster the U.S.-… https://t.co/iIXhhrgKFW","http://web.archive.org/*/http://twitter.com/statedeptspox/status/988419645504974849"
"Acting Sec. Sullivan at #G7: @POTUS Trump’s concern with the #JCPOA is nonproliferation – his goal is to strengthen… https://t.co/y7xoi5enQq","http://web.archive.org/*/https://twitter.com/statedeptspox/status/988817138063421441"
"Acting Sec. Sullivan at #G7: @POTUS Trump’s concern with the #JCPOA is nonproliferation – his goal is to strengthen… https://t.co/y7xoi5enQq","http://web.archive.org/*/http://twitter.com/statedeptspox/status/988817138063421441"
"Acting Sec. Sullivan at #G7: The U.S. has concerns with #Iran and its ballistic missiles program &amp; its destabilizin… https://t.co/UEoJFfgMtu","http://web.archive.org/*/https://twitter.com/statedeptspox/status/988817050800967681"
"Acting Sec. Sullivan at #G7: The U.S. has concerns with #Iran and its ballistic missiles program &amp; its destabilizin… https://t.co/UEoJFfgMtu","http://web.archive.org/*/http://twitter.com/statedeptspox/status/988817050800967681"
"Acting Sec. Sullivan at #G7: This is something that I’ve lived through with my family. My uncle was the last U.S. a… https://t.co/nV3W31fvml","http://web.archive.org/*/https://twitter.com/statedeptspox/status/988817212977893376"
"Acting Sec. Sullivan at #G7: This is something that I’ve lived through with my family. My uncle was the last U.S. a… https://t.co/nV3W31fvml","http://web.archive.org/*/http://twitter.com/statedeptspox/status/988817212977893376"
"Acting Sec. Sullivan at #G7: We are all aware of the problems and the destabilizing and malign influence of Iran, a… https://t.co/nK8e0gm568","http://web.archive.org/*/https://twitter.com/statedeptspox/status/988817301981057024"
"Acting Sec. Sullivan at #G7: We are all aware of the problems and the destabilizing and malign influence of Iran, a… https://t.co/nK8e0gm568","http://web.archive.org/*/http://twitter.com/statedeptspox/status/988817301981057024"
"Acting Sec. Sullivan met with #Morocco's Minister of Foreign Affairs and International Cooperation Nasser Bourita t… https://t.co/iRkCYMDc7T","http://web.archive.org/*/https://twitter.com/statedeptspox/status/981329534145490944"
"Acting Sec. Sullivan met with #Morocco's Minister of Foreign Affairs and International Cooperation Nasser Bourita t… https://t.co/iRkCYMDc7T","http://web.archive.org/*/http://twitter.com/statedeptspox/status/981329534145490944"
"Acting Sec. Sullivan: US calls on our partners to cont. working alongside us as we counter #Iran’s destabilizing ac… https://t.co/0KMtVW8HhT","http://web.archive.org/*/https://twitter.com/statedeptspox/status/988490606736498850"
"Acting Sec. Sullivan: US calls on our partners to cont. working alongside us as we counter #Iran’s destabilizing ac… https://t.co/0KMtVW8HhT","http://web.archive.org/*/http://twitter.com/statedeptspox/status/988490606736498850"
"@AdamBlickstein I do!","http://web.archive.org/*/https://twitter.com/statedeptspox/status/612046782118404096"
"@AdamBlickstein I do!","http://web.archive.org/*/http://twitter.com/statedeptspox/status/612046782118404096"
"Afghans working w/ our troops &amp; diplomats have been essential to accomplishing our mission. Program allows them to seek refuge in US. (2/2)","http://web.archive.org/*/https://twitter.com/statedeptspox/status/731206449041281024"
"Afghans working w/ our troops &amp; diplomats have been essential to accomplishing our mission. Program allows them to seek refuge in US. (2/2)","http://web.archive.org/*/http://twitter.com/statedeptspox/status/731206449041281024"
"A free &amp; responsible press is essential to any democratic society. Yesterday I proudly met with distinguished… https://t.co/OZsXui7Pad","http://web.archive.org/*/https://twitter.com/statedeptspox/status/1189538362388090880"
"A free &amp; responsible press is essential to any democratic society. Yesterday I proudly met with distinguished… https://t.co/OZsXui7Pad","http://web.archive.org/*/http://twitter.com/statedeptspox/status/1189538362388090880"
"A free press is an essential pillar of democracy. @USAGMgov has been on the front lines of advancing this mission a… https://t.co/LXDy2q20dq","http://web.archive.org/*/https://twitter.com/statedeptspox/status/1040255724633378817"
"A free press is an essential pillar of democracy. @USAGMgov has been on the front lines of advancing this mission a… https://t.co/LXDy2q20dq","http://web.archive.org/*/http://twitter.com/statedeptspox/status/1040255724633378817"
"After 2 amazing years @StateDept working for @JohnKerry--returned to @WhiteHouse. Follow me @psaki44.","http://web.archive.org/*/https://twitter.com/statedeptspox/status/586991508676599808"
"After 2 amazing years @StateDept working for @JohnKerry--returned to @WhiteHouse. Follow me @psaki44.","http://web.archive.org/*/http://twitter.com/statedeptspox/status/586991508676599808"
"After 2 members of Cuba’s UN mission engaged in activities harmful to U.S. national security, we asked them to leav… https://t.co/uXR0a87GkR","http://web.archive.org/*/https://twitter.com/statedeptspox/status/1174776971148050433"
"After 2 members of Cuba’s UN mission engaged in activities harmful to U.S. national security, we asked them to leav… https://t.co/uXR0a87GkR","http://web.archive.org/*/http://twitter.com/statedeptspox/status/1174776971148050433"
"After attacking innocent Iraqi protesters earlier, Kata’ib Hizballah ended its day by firing rockets in Baghdad. KH… https://t.co/R4uDOmQRxq","http://web.archive.org/*/https://twitter.com/statedeptspox/status/1214535747207913472"
"After attacking innocent Iraqi protesters earlier, Kata’ib Hizballah ended its day by firing rockets in Baghdad. KH… https://t.co/R4uDOmQRxq","http://web.archive.org/*/http://twitter.com/statedeptspox/status/1214535747207913472"
